ticker,timestamp,price,volume,action
AAPL,2024-08-24 16:48:14,233.86,6726,BUY
AAPL,2024-08-24 16:47:36,222.11,1893,BUY
AAPL,2024-08-24 16:47:16,225.29,8216,SELL
AAPL,2024-08-24 16:46:55,232.62,6882,BUY
AAPL,2024-08-24 16:46:03,218.22,3118,BUY
AAPL,2024-08-24 16:45:27,220.88,3785,BUY
AAPL,2024-08-24 16:45:21,222.38,9195,SELL
AAPL,2024-08-24 16:44:46,216.5,2880,BUY
AAPL,2024-08-24 16:44:30,223.25,8160,SELL
AAPL,2024-08-24 16:43:34,226.0,7752,BUY
AAPL,2024-08-24 16:43:30,215.8,7494,BUY
AAPL,2024-08-24 16:42:45,234.61,258,SELL
AAPL,2024-08-24 16:42:20,237.82,5031,BUY
AAPL,2024-08-24 16:42:11,218.12,4707,BUY
AAPL,2024-08-24 16:41:24,216.14,7714,BUY
AAPL,2024-08-24 16:40:37,224.12,3392,SELL
AAPL,2024-08-24 16:40:05,233.36,5975,SELL
AAPL,2024-08-24 16:39:19,229.55,1114,SELL
AAPL,2024-08-24 16:39:11,227.71,1818,BUY
AAPL,2024-08-24 16:39:01,236.67,6604,SELL
AAPL,2024-08-24 16:38:41,222.71,8050,SELL
AAPL,2024-08-24 16:37:58,230.71,680,BUY
AAPL,2024-08-24 16:37:41,237.65,1383,SELL
AAPL,2024-08-24 16:37:25,227.94,4355,SELL
AAPL,2024-08-24 16:36:27,233.65,8121,BUY
AAPL,2024-08-24 16:35:39,229.39,9506,SELL
AAPL,2024-08-24 16:35:05,215.52,4230,SELL
AAPL,2024-08-24 16:34:57,215.76,7073,BUY
AAPL,2024-08-24 16:34:53,232.1,9207,SELL
AAPL,2024-08-24 16:34:42,216.84,3370,SELL
AAPL,2024-08-24 16:34:37,234.37,5912,SELL
AAPL,2024-08-24 16:33:40,234.67,6801,BUY
AAPL,2024-08-24 16:32:40,234.81,1413,BUY
AAPL,2024-08-24 16:31:56,237.78,4661,BUY
AAPL,2024-08-24 16:31:53,237.87,956,SELL
AAPL,2024-08-24 16:31:47,217.67,357,SELL
AAPL,2024-08-24 16:31:07,216.96,534,SELL
AAPL,2024-08-24 16:31:05,217.86,5200,BUY
AAPL,2024-08-24 16:30:05,228.52,3805,BUY
AAPL,2024-08-24 16:29:21,229.91,2266,SELL
AAPL,2024-08-24 16:29:14,233.76,2392,BUY
AAPL,2024-08-24 16:28:29,222.47,9651,BUY
AAPL,2024-08-24 16:28:17,231.31,4309,BUY
AAPL,2024-08-24 16:27:52,237.2,2821,SELL
AAPL,2024-08-24 16:27:51,237.19,4206,SELL
AAPL,2024-08-24 16:27:31,217.51,8281,SELL
AAPL,2024-08-24 16:27:30,238.04,5997,SELL
AAPL,2024-08-24 16:26:46,226.56,7610,SELL
AAPL,2024-08-24 16:25:50,230.76,4948,SELL
AAPL,2024-08-24 16:25:41,226.76,201,SELL
AAPL,2024-08-24 16:25:09,218.16,268,SELL
AAPL,2024-08-24 16:24:23,228.3,1041,BUY
AAPL,2024-08-24 16:23:27,232.15,3204,BUY
AAPL,2024-08-24 16:22:29,229.13,7435,BUY
AAPL,2024-08-24 16:21:44,232.26,7690,SELL
AAPL,2024-08-24 16:21:36,235.97,6502,BUY
